name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"gpt35-french-1","","","","0","GPT35-French-1","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.6904761904761905","0.5238095238095238","1.4761904761904763","madame-legrand","3.142857142857143","2","2023","2023","6","7","0","0","0","0","1","11","2023","22","","0","1778","1130","610","51","0"
"gpt35-french-10","","","","0","GPT35-French-10","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.9238095238095239","0.6190476190476191","1.380952380952381","la-marquise","3.7142857142857144","2","2023","2023","6","7","0","0","0","0","1","13","2023","5","","0","1754","1017","730","55","0"
"gpt35-french-2","","","","0","GPT35-French-2","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8","1.2","madame-pierreval|monsieur-pierreval","4","2","2023","2023","5","6","0","0","0","0","1","12","2023","5","","0","1905","1326","571","48","0"
"gpt35-french-3","","","","0","GPT35-French-3","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8666666666666667","1.1333333333333333","la-comtesse|le-comte|le-baron","4.333333333333333","2","2023","2023","5","6","0","0","0","0","1","13","2023","5","","0","1943","1441","620","39","0"
"gpt35-french-4","","","","0","GPT35-French-4","","","ENTER SOURCE URL HERE","","","","","2023","10","false","0.8286507936507936","0.4444444444444444","1.5555555555555556","eugenie-de-valmont","4","2","2023","2023","9","10","0","0","1","0","1","20","2023","11","","0","924","359","659","47","0"
"gpt35-french-5","","","","0","GPT35-French-5","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.4444444444444444","0.4666666666666667","1.6","madeleine|rose","2.3333333333333335","3","2023","2023","4","6","0","0","1","0","1","7","2023","13","","0","1800","1051","724","44","0"
"gpt35-french-6","","","","0","GPT35-French-6","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.611111111111111","0.4666666666666667","1.6666666666666667","le-capitaine","2.3333333333333335","3","2023","2023","4","6","0","0","0","0","1","7","2023","5","","0","1880","1126","780","22","0"
"gpt35-french-7","","","","0","GPT35-French-7","","","ENTER SOURCE URL HERE","","","","","2023","6","false","1","1","1","several characters","5","1","2023","2023","5","6","0","0","0","0","1","15","2023","5","","0","1704","1149","664","45","0"
"gpt35-french-8","","","","0","GPT35-French-8","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.8333333333333334","0.6666666666666666","1.3333333333333333","madame-de-sévigné|le-chevalier","3.3333333333333335","2","2023","2023","5","6","0","0","0","0","1","10","2023","5","","0","987","326","539","45","0"
"gpt35-french-9","","","","0","GPT35-French-9","","","ENTER SOURCE URL HERE","","","","","2023","9","false","0.8806878306878307","0.8055555555555556","1.1944444444444444","comtesse|dramaturge|diplomate","6.444444444444445","2","2023","2023","8","9","0","0","1","0","1","29","2023","5","","0","938","270","758","50","0"
"gpt35-german-1","","","","0","GPT35-German-1","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.9285714285714286","0.8928571428571429","1.1071428571428572","several characters","6.25","2","2023","2023","7","8","0","0","1","0","1","25","2023","5","","0","1682","1284","652","44","0"
"gpt35-german-10","","","","0","GPT35-German-10","","","ENTER SOURCE URL HERE","","","","","2023","9","false","0.8981481481481483","0.8611111111111112","1.1388888888888888","kuenstler|schneiderin|hauswirtin","6.888888888888889","2","2023","2023","8","9","0","0","0","0","1","31","2023","5","","0","1537","870","741","53","0"
"gpt35-german-2","","","","0","GPT35-German-2","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.8666666666666666","0.8","1.2","maria|arthur","3.2","2","2023","2023","4","5","0","0","0","0","1","8","2023","11","","0","1749","1153","536","52","0"
"gpt35-german-3","","","","0","GPT35-German-3","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.9","0.9","1.1","beatrix|dieter|elisabeth","3.6","2","2023","2023","4","5","0","0","0","0","1","9","2023","5","","0","1715","883","873","53","0"
"gpt35-german-4","","","","0","GPT35-German-4","","","ENTER SOURCE URL HERE","","","","","2023","6","false","0.9","0.8","1.2","prinz-ferdinand|louisa","4","2","2023","2023","5","6","0","0","0","0","1","12","2023","5","","0","1599","789","797","46","0"
"gpt35-german-5","","","","0","GPT35-German-5","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.6","0.6","1.4","karl","2.4","2","2023","2023","4","5","0","0","0","0","1","6","2023","5","","0","1559","1082","417","44","0"
"gpt35-german-6","","","","0","GPT35-German-6","","","ENTER SOURCE URL HERE","","","","","2023","8","false","0.9285714285714286","0.8928571428571429","1.1071428571428572","several characters","6.25","2","2023","2023","7","8","0","0","0","0","1","25","2023","5","","0","1204","770","470","62","0"
"gpt35-german-7","","","","0","GPT35-German-7","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.8666666666666666","0.8","1.2","dienerin|graefen","3.2","2","2023","2023","4","5","0","0","1","0","1","8","2023","5","","0","1546","975","784","29","0"
"gpt35-german-8","","","","0","GPT35-German-8","","","ENTER SOURCE URL HERE","","","","","2023","5","false","0.7","0.7","1.3","wolfgang-von-hartenstein","2.8","2","2023","2023","4","5","0","0","0","0","1","7","2023","7","","0","1357","959","158","37","0"
"gpt35-german-9","","","","0","GPT35-German-9","","","ENTER SOURCE URL HERE","","","","","2023","5","false","1","1","1","several characters","4","1","2023","2023","4","5","0","0","2","0","1","10","2023","1","","0","1885","1734","90","50","0"
"gpt35-russian-1","","","","0","GPT35-Russian-1","","","ENTER SOURCE URL HERE","","","","","2023","7","false","0.8476190476190476","0.6666666666666666","1.3333333333333333","andrej","4","2","2023","2023","6","7","0","0","0","0","1","14","2023","5","","0","888","689","252","32","0"
"gpt35-russian-10","","","","0","GPT35-Russian-10","","","ENTER SOURCE URL HERE","","","","","2023","15","false","0.8486195286195286","0.4380952380952381","1.6761904761904762","pavel:","6.133333333333334","3","2023","2023","11","15","0","0","0","0","1","46","2023","5","","0","374","135","274","41","0"
"gpt35-russian-2","","","","0","GPT35-Russian-2","","","ENTER SOURCE URL HERE","","","","","2023","15","false","0.9146187146187146","0.8095238095238095","1.1904761904761905","several characters","11.333333333333334","2","2023","2023","14","90","0","0","0","0","1","85","2023","3","","0","765","474","315","50","0"
"gpt35-russian-3","","","","0","GPT35-Russian-3","","","ENTER SOURCE URL HERE","","","","","2023","26","false","0.9794871794871796","0.19076923076923077","1.2790697674418605","cristian","4.769230769230769","2","2023","2023","10","26","0","0","0","0","4","62","2023","5","","0","880","543","391","32","0"
